index,Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,toxicity
730,Treatment,PETER THOMAS ROTH,Therapeutic Sulfur Mask Acne Treatment Mask,47,4.6,"Water, Bentonite, Kaolin, Propylene Glycol, Talc, Glycerin, Aloe Barbadensis Leaf Juice, Zinc Oxide (Ci 77947), Polysorbate 20, Titanium Dioxide (Ci 77891), Carbomer, Fragrance, Sodium Hydroxide, Diazolidinyl Urea, Methylparaben, Propylparaben.",1,0,1,1,0,High
753,Treatment,SHISEIDO,Bio-Performance LiftDynamic Serum,98,3.9,"Water, Dimethicone, Butylene Glycol, Glycerin, Dimethicone Crosspolymer, Dipropylene Glycol, Xylitol, Polysorbate 20, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Peg-10 Dimethicone, Talc, Phenoxyethanol, Peg-150, Polyvinyl Alcohol, Silica, Alumina, Titanium Dioxide (CI 77891), Mica, Trisodium Edta, Tocopheryl Acetate, Sodium Citrate, Fragrance, Sodium Metaphosphate, Potassium Hydroxide, Citric Acid, Sodium Metabisulfite, Limonene, Inositol, Hexyl Cinnamal, Iron Oxides (CI 77492), Benzyl Benzoate, Butylphenyl Methylpropional, Linalool, Saccharomyces Ferment Lysate Filtrate, Sodium Acetylated Hyaluronate, Alpha-Isomethyl Ionone, Thymus Serpillum Extract, Iron Oxides (Ci 77491), Citronellol, Geraniol, Carthamus Tinctorius (Safflower) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract (Rosmarinus Officinalis Leaf Extract), Tocopherol.",0,0,0,0,0,High
810,Treatment,ALGENIST,REVEAL Concentrated Color Correcting Drops,38,3.8,"Water, Dimethicone, Mica, Nylon-12, PEG-10 Dimethicone, Talc, Titanium Dioxide, Glycerin, Acrylates/Dimethicone Copolymer, Cetyl PEG/PPG-10/1 Dimethicone, Algae Exopolysaccharides, Chlorella Protothecoides Oil, Dunaliella Salina Extract, Haematococcus Pluvialis Extract, Undaria Pinnatifida Extract, HDI/Trimethylol Hexyllactone Crosspolymer, Isododecane, Magnesium Sulfate, Silica, Methicone, Hydrogen Dimethicone, Triethoxycaprylylsilane, Disteardimonium Hectorite, Propylene Carbonate, Caprylic/ Capric Triglyceride, PEG-8 Distearmonium Chloride PG-Dimethicone, Aluminum Hydroxide, Sodium Chloride, Hexylene Glycol, Pongamia Glabra Seed Oil, Ethylhexylglycerin, Sodium Dehydroacetate, Benzoic Acid, Dehydroacetic Acid, Phenoxyethanol, Chromium Oxide Greens (CI 77288), Iron Oxides (CI 77492, CI 77499), Titanium Oxide (CI 77891).",0,0,0,0,0,High
887,Face Mask,SEPHORA COLLECTION,Clay Mask,8,4.3,"Water, Kaolin, Talc, Steareth-2, Shea Butter, Fuller's Earth, Hydrogenated Polyisobutene, Butylene Glycol, Stearic Acid, CI 77891 (Titanium Dioxide), Glycerin, Cetearyl Alcohol, Steareth-21, Ethylhexyl Stearate, Luffa Cylindrica Fruit Powder, Phenoxyethanol, PPG-15 Stearyl Ether, Benzophenone-4, Xanthan Gum, Disodium EDTA, Enantia Chlorantha Bark Extract, Fragrance, Ethylhexylglycerin, Benzyl Salicylate, Camellia Sinensis Leaf Extract, Citric Acid, CI 77492 (Iron Oxides), Sodium Benzoate, Potassium Sorbate, Oleanolic Acid, Denatonium Benzoate, CI 42090 (Blue 1), BHT, CI 19140 (Yellow 5), Tocopherol.",1,1,1,1,1,High
895,Face Mask,SEPHORA COLLECTION,Crazy for Clay!,18,4.0,"Grey Clay Mask: Water, Kaolin, Talc, Butyrospermum Parkii Butter (Butyrospermum Parkii (Shea Butter)), Steareth-2, Hydrogenated Polyisobutene, CI 77891 (Titanium Dioxide), Stearic Acid, Cetearyl Alcohol, Glycerin, Steareth-21, Butylene Glycol, Ethylhexyl Stearate, Phenoxyethanol, PPG-15 Stearyl Ether, Disodium EDTA, Xanthan Gum, Parfum (Fragrance), Ethylhexylglycerin, Pelargonium Graveolens Flower Water, Benzyl Salicylate, Rosa Canina Fruit Extract, Denatonium Benzoate, Benzyl Alcohol, BHT, Tocopherol, Dehydroacetic Acid. Pink Clay Mask: Water, Kaolin, Glycerin, CI 77891 (Titanium Dioxide), Caprylic/Capric Triglyceride, Steareth-2, Hydrogenated Polyisobutene, Propanediol, Stearic Acid, Butyrospermum Parkii Butter (Butyrospermum Parkii (Shea Butter)), Cetearyl Alcohol, Steareth-21, Phenoxyethanol, PPG-15 Stearyl Ether, Evodia Rutaecarpa Fruit Extract, Disodium EDTA, PVP, Xanthan Gum, Parfum (Fragrance), Hydroxyacetophenone, Ethylhexylglycerin, Benzyl Salicylate, Carbomer, Sodium Hydroxide, Litchi Chinensis Fruit Extract, Denatonium Benzoate, BHT, Tocopherol. Green Clay Mask: Water, Kaolin, Talc, Butyrospermum Parkii Butter (Butyrospermum Parkii (Shea Butter)), Steareth-2, Hydrogenated Polyisobutene, Solum Fullonum (Fuller'S Earth), Butylene Glycol, CI 77891 (Titanium Dioxide), Stearic Acid, Glycerin, Cetearyl Alcohol, Steareth-21, Ethylhexyl Stearate, Luffa Cylindrica Fruit Powder, Phenoxyethanol, PPG-15 Stearyl Ether, Benzophenone-4, Disodium EDTA, Xanthan Gum, Enantia Chlorantha Bark Extract, Parfum (Fragrance), Ethylhexylglycerin, Benzyl Salicylate, Camellia Sinensis Leaf Extract, Citric Acid, CI 77492 (Iron Oxides), Sodium Benzoate, Potassium Sorbate, Oleanolic Acid, Denatonium Benzoate, CI 42090 (Blue 1, Blue 4, Blue 1 Lake), BHT, CI 19140 (Yellow 5, Yellow 5 Lake), Tocopherol.",1,1,1,1,1,High
921,Face Mask,BOSCIA,Charcoal Pore Pudding Intensive Wash-Off Treatment,38,4.4,"Charcoal Pore Pudding Black: Water, Diglycerin, Glycerin, Corn Starch, Talc, Kaolin, Montmorillonite, Acrylates Copolymer, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydroxyacetophenone, Charcoal Powder, Polysorbate 20, PVP, Butylene Glycol, Pelargonium Graveolens Flower Oil, Dipotassium Glycyrrhizate, Sodium Hyaluronate, Simmondsia Chinensis (Jojoba) Seed Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Iron Oxides (CI 77499), Titanium Dioxide (CI 77891). White Charcoal Pore Pudding: Water, Diglycerin, Glycerin, Corn Starch, Montmorillonite, Kaolin, Talc, Ethylhexylglycerin, Hydroxyacetophenone, Polysorbate 20, Acrylates Copolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Kappaphycus Alvarezii Extract, Butylene Glycol, PVP, Pelargonium Graveolens Flower Oil, Simmondsia Chinensis (Jojoba) Seed Extract, Sodium Hyaluronate, Sea Water, Caprylic/Capric Triglyceride, Epilobium Angustifolium Flower/Leaf/Stem Extract, Charcoal Powder, Salicornia Herbacea Extract, Titanium Dioxide (CI 77891).",1,1,1,1,1,High
1064,Face Mask,SEPHORA COLLECTION,Peel-off Mask,20,3.6,"Water, Talc, Alcohol Denat., Polyvinyl Alcohol, Kaolin, Glycerin, Propylene Glycol, Bentonite, PEG-7 Glyceryl Cocoate, Butylene Glycol, Gluconolactone, Sodium Gluconate, Fragrance, Tocopherol, Xanthan Gum, Carica Papaya Fruit Extract (Carica Papaya (Papaya) Fruit Extract), Maltodextrin, CI 19140 (Yellow 5), CI 17200 (Red 33), Citrus Paradisi (Grapefruit) Seed Extract.",1,1,1,1,0,High
1197,Eye cream,SHISEIDO,Ibuki Eye Correcting Cream,40,3.8,"Water, Dimethicone, Alcohol Denat., Glycerin, Butylene Glycol, Dipropylene Glycol, Polymethylsilsesquioxane, Diphenylsiloxy Phenyl Trimethicone, Peg-10 Dimethicone, Disteardimonium Hectorite, Titanium Dioxide (Ci 77891), Pentaerythrityl Tetraethylhexanoate, Trehalose, Peg-150, Isostearic Acid, Mica, Disodium Edta, Alcohol, Fragrance, Betaine, Tocopheryl Acetate, Sodium Citrate, Tin Oxide, Aluminum Hydroxide, Limonene, Citric Acid, Menthol, Hexyl Cinnamal, Butylphenyl Methylpropional, Hydrogen Dimethicone, Polysilicone-2,Iron Oxides (Ci 77491), Benzyl Benzoate, Linalool, Talc, Citronellol, Lamium Album Flower Extract, Citrus Junos Seed Extract, Houttuynia Cordata Extract, Tocopherol, Dimethicone/Methicone Copolymer, Zingiber Aromaticus Extract.",0,0,0,0,0,High
1252,Eye cream,SHISEIDO,Essential Energy Eye Definer,42,0.0,"Water, Dimethicone, Glycerin, Sd Alcohol 40-B (Alcohol Denat.), Butylene Glycol, Dipropylene Glycol, Peg-10 Dimethicone, Polymethylsilsesquioxane, Diphenylsiloxy Phenyl Trimethicone, Disteardimonium Hectorite, Trehalose, Titanium Dioxide (Ci 77891), Pentaerythrityl Tetraethylhexanoate, Sodium Chloride, Peg-150, Isostearic Acid, Phenoxyethanol, Mica, Disodium Edta, Tocopheryl Acetate, Sodium Citrate, Fragrance, Alcohol, Trimethylsiloxysilicate, Tin Oxide, Caffeine, Aluminum Hydroxide, Polysilicone-2, Citric Acid, Hydrogen Dimethicone, Hexyl Cinnamal, Iron Oxides (Ci 77491), Tocopherol, Limonene, Linalool, Sodium Metabisulfite, Talc, Citronellol, Angelica Keiskei Leaf/Stem Extract, Sanguisorba Officinalis Root Extract, Crataegus Monogyna Flower Extract, Geraniol, Sodium Acetylated Hyaluronate, Vaccinium Macrocarpon (Cranberry) Seed Oil, Cinnamomum Cassia Bark Extract, Citrus Unshiu Peel Extract, Zingiber Aromaticus Extract, Rubus Idaeus (Raspberry) Fruit Extract, Coix Lacryma-Jobi Ma-Yuen Seed Extract, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract (Rosmarinus Officinalis Leaf Extract).",1,1,1,1,1,High
1290,Eye cream,KLORANE,BB Eye Cream with Soothing Cornflower,26,3.3,"Water, Butylene Glycol, Centaurea Cyanus Flower Water, Isodecyl Neopentanoate, Glycerin, Dimethicone, Arachidyl Alcohol, 1,2-Hexanediol, Alcohol, Arachidyl Glucoside, Benenyl Alcohol, Caffeine, Caprylyl Glycol, Citric Acid, Coco Caprylate, Dimethicone Crosspolymer, Disodium EDTA, Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil (Helianthus Annuus Seed Oil), Hydroxyethyl Acrylates/Sodium Acryloyldimethyl Taurate Copolymer, Iron oxides (CI 77492) (CI77491), Isohexadecane, Mica, PEG-100 Stearate, Phenethyl Alcohol, Polymethyl Methacrylate, Polysorbate 60, Propylene Gylcol, Sodium Dextran Sulfate, Sodium Hyaluronate, Sodium Hydroxide, Sorbitan Isostearate, Talc, Tin Oxide, Titanium Dioxide (CI77891), Titanium Dioxide, Tocopherol, Tocopheryl Acetate, Viburnum Prunifolium Extract, Xanthan Gum.",1,1,1,1,1,High
1309,Sun protect,SHISEIDO,Ultimate Sun Protection Lotion WetForce SPF 50+,40,3.7,"Water, Dimethicone, Sd Alcohol 40-B, Talc, Methyl Methacrylate Crosspolymer, Isododecane, Cetyl Ethylhexanoate, Diisopropyl Sebacate, Triethylhexanoin, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Glycerin, Dextrin Palmitate, Sucrose Tetrastearate Triacetate, Polybutylene Glycol/Ppg-9/1 Copolymer, Trimethylsiloxysilicate, Xylitol, Silica, Sodium Chloride, Peg/Ppg-14/7 Dimethyl Ether, Saxifraga Sarmentosa Extract, Sophora Angustifolia Root Extract, Disteardimonium Hectorite, Isostearic Acid, Calcium Stearate, Trisodium Edta, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Alcohol, Bht, Butylene Glycol, Stearic Acid, Sodium Metabisulfite, Syzygium Jambos Leaf Extract, Tocopherol, Polysilicone-2, Methylparaben, Fragrance, Iron Oxides.",1,1,1,1,1,High
1326,Sun protect,SHISEIDO,Ultimate Sun Protection Cream Broad Spectrum SPF 50+ Wetforce For Face,36,4.1,"Water, Dimethicone, Sd Alcohol 40-B, Isohexadecane, Butylene Glycol, Isopropyl Myristate, Methyl Methacrylate Crosspolymer, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Xylitol, Glycerin, Polybutylene Glycol/Ppg-9/1 Copolymer,Isododecane,Trimethylsiloxysilicate, Disteardimonium Hectorite, Peg-6, Dextrin Palmitate, Peg-32, Peg/Ppg-14/7 Dimethyl Ether, Saxifraga Sarmentosa Extract, Scutellaria Baicalensis Root Extract, Ononis Spinosa Root Extract, Ectoin, Sophora Angustifolia Root Extract, Silica, Hydrogen Dimethicone, Carboxydecyl Trisiloxane, Aluminum Hydroxide, Stearic Acid, Trisodium Edta, Polymethylsilsesquioxane, Talc, Alcohol, Bht, Syzygium Jambos Leaf Extract, Tocopherol, Phenoxyethanol, Fragrance.",0,0,0,0,0,High
1327,Sun protect,AMOREPACIFIC,MOISTURE BOUND Tinted Treatment Moisturizer SPF 15,70,4.2,"Phyllostachis Bambusoides Juice, Methyl Trimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Butylene Glycol, Ethylhexyl Methoxycinnamate, Glycerin, C12-15 Alkyl Benzoate, Bis- Hydroxyethoxypropyl Dimethicone, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Alcohol, Disteardimonium Hectorite, Polymethyl Methacrylate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Trihydroxystearin, Peg-10 Dimethicone, Panax Ginseng Root Extract, Sodium Chloride, Sorbitan Isostearate, Aluminum Stearate, Phenoxyethanol, Polyhydroxystearic Acid, Alumina, Laminaria Ochroleuca Extract, Talc, Aluminum Hydroxide, Triethoxycaprylylsilane, Disodium Edta, Ethylhexylglycerin, Zingiber Officinale (Ginger) Root Extract, Camellia Sinensis Leaf Extract, Water, Tricholoma Matsutake Extract, Kaempferol, Acrylates/Tridecyl Acrylate/Triethoxysilylpropyl Methacrylate/Dimethicone Methacrylate Copolymer, Propylene Glycol, Zinc Gluconate, Magnesium Aspartate, Hydrogenated Lecithin, Peg-5 Rapeseed Sterol, Hydrolyzed Ginseng Saponins, Copper Gluconate, Calcium Gluconate, Fragrance, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).",1,1,1,0,1,High
1340,Sun protect,SHISEIDO,Future Solution LX Total Protective Cream Broad Spectrum SPF 20 Sunscreen,260,5.0,"Glycerin, Dipropylene Glycol, Behenyl Alcohol, Butylene Glycol, Isohexadecane, Sd Alcohol 40-B, Silica, Caprylic/Capric Triglyceride, Myristyl Myristate, Dimethicone, Polybutylene Glycol/Ppg-9/1 Copolymer, Sorbitol, Stearyl Alcohol, Phytosteryl Macadamiate, Tocopheryl Acetate, Peg/Ppg-17/4 Dimethyl Ether, Piperidinepropionic Acid, 2-O-Ethyl Ascorbic Acid, Prunus Speciosa Leaf Extract, Angelica Acutiloba Root Extract, Isodonis Japonicus Leaf/Stalk Extract, Camellia Sinensis Leaf Extract, Zanthoxylum Piperitum Peel Extract, Beheneth-20, Succinoglycan, Trisodium Edta, Sodium Citrate, Alcohol, Bht, Sodium Metaphosphate, Citric Acid, Talc, Dextrin Palmitate, Tocopherol, Methylparaben, Ethylparaben, Fragrance, Iron Oxides.",1,1,1,1,1,High
1342,Sun protect,SHISEIDO,Sports BB Broad Spectrum SPF 50+ WetForce,38,4.1,"Water, Dimethicone, Trimethylsiloxysilicate, Isododecane, Methyl Methacrylate Crosspolymer, Sd Alcohol 40-B, Xylitol, Isopropyl Myristate, Aluminum Hydroxide, Peg-9 Polydimethylsiloxyethyl Dimethicone, Aluminum Distearate, Isostearic Acid, Dextrin Palmitate, Bis-Butyldimethicone Polyglyceryl-3, Serine, Glycine, Sodium Pca, Aspartic Acid, Peg/Ppg-14/7 Dimethyl Ether, Saxifraga Sarmentosa Extract, Sophora Angustifolia Root Extract, Disteardimonium Hectorite, Trisodium Edta, Silica, Alanine, Polymethylsilsesquioxane, Talc, Alumina, Alcohol, Sodium Citrate, Polysilicone-2, Triethoxycaprylylsilane, Hydrogen Dimethicone, Butylene Glycol, Citric Acid, Tocopherol, Stearic Acid, Bht, Syzygium Jambos Leaf Extract, Methylparaben, Ethylparaben, Fragrance, Titanium Dioxide, Iron Oxides, Mica.",1,1,1,1,0,High
