Unnamed: 0,Toxin,Product,Toxicity
47,Parfum,Acne Clearing Wash,Moderate
48,Parfum,A Glowing Regimen Trial Set,Moderate
49,Parfum,No:Rinse Intensive Pore Minimizing Toner,Moderate
50,Parfum,Pore Reform™ Skin Smoothing Polish,Moderate
51,Parfum,Eau Ginseng,Moderate
52,Parfum,Solid Cleansing Oil,Moderate
53,Parfum,PRE:EMPT SERIES™ Exfoliating Pore Refiner,Moderate
54,Parfum,GENIUS Ultimate Anti-Aging Melting Cleanser,Moderate
55,Parfum,So Nurturing™ Cleansing Cloths,Moderate
56,Parfum,Wonderfeel™ Double Cleanser,Moderate
57,Parfum,Rosa Centifolia™ No.1 Purity Cleansing Balm,Moderate
58,Parfum,Pore Refining Detox Double Cleanse,Moderate
59,Parfum,Micro Polish Cleanser,Moderate
60,Parfum,Alpha Beta® Extra Strength Daily Peel,Moderate
61,Parfum,Vinoperfect Radiance Serum,Moderate
62,Parfum,Double Serum Complete Age Control Concentrate,Moderate
63,Parfum,GENIUS Liquid Collagen,Moderate
64,Parfum,Vinosource S.O.S Thirst Quenching Serum,Moderate
65,Parfum,Glow Cycle Retin-ALT Power Serum,Moderate
66,Parfum,White Lucent MicroTargeting Spot Corrector,Moderate
67,Parfum,Black Tea Age-Delay Firming Serum,Moderate
68,Parfum,Minus Serum,Moderate
69,Parfum,Vine[Activ] Vitamin C Anti-Wrinkle Serum,Moderate
70,Parfum,Resveratrol Lift Firming Serum,Moderate
71,Parfum,Shaping Facial Lift Total V Contouring Serum,Moderate
72,Parfum,White Lucent Luminizing Surge,Moderate
73,Parfum,Power Peel™ Transforming Facial System,Moderate
74,Parfum,"Black Pine 3D Sculpting, Firming & Lifting Face Serum",Moderate
75,Parfum,PRE:EMPT SERIES™ Skin Perfecting Serum,Moderate
76,Parfum,Breakout Fighters,Moderate
77,Parfum,Bio Retinoid Anti-Wrinkle Concentrate Oil,Moderate
78,Parfum,Lotus Face Treatment Oil,Moderate
79,Parfum,Vitamin C Ester Brightening Amine Face Lift,Moderate
80,Parfum,Future Solution LX Intensive Firming Contour Serum,Moderate
81,Parfum,Concentrated Reconstructing Serum,Moderate
82,Parfum,Mission Perfection Serum,Moderate
83,Parfum,Silver Skin Savior Salicylic/Glycolic Acid Treatment,Moderate
84,Parfum,Lip Sleeping Mask,Moderate
85,Parfum,Rose Face Mask,Moderate
86,Parfum,Black Tea Instant Perfecting Mask,Moderate
87,Parfum,Face Mask,Moderate
88,Parfum,Australian Pink Clay Porefining Face Mask,Moderate
89,Parfum,Vitamin C Glow Face Mask,Moderate
90,Parfum,Face Mask - Pearl - Brightening,Moderate
91,Parfum,Black Tea Instant Perfecting Mask Mini,Moderate
92,Parfum,Face Mask - Green Tea - Mattifying,Moderate
93,Parfum,Crazy for Clay!,Moderate
94,Parfum,Face Mask - Rose - Moisturizing,Moderate
95,Parfum,Face Mask - Aloe Vera - Replenishing,Moderate
96,Parfum,Face Mask - Pineapple - Pore Perfecting,Moderate
97,Parfum,Face Mask - Coconut - Nourishing,Moderate
98,Parfum,Pomegranate AHA & Enzymes Resurfacing Mask,Moderate
99,Parfum,Moisturizing Mask,Moderate
100,Parfum,Face Mask - Algae - Detoxifying,Moderate
101,Parfum,Face Mask - Grape - Anti-pollution,Moderate
102,Parfum,Goddess Clay Mask,Moderate
103,Parfum,Hydrating Lip Mask,Moderate
104,Parfum,V-Facial Intensive Wrap,Moderate
105,Parfum,Midnight Radiance Mask,Moderate
106,Parfum,Hygge HydraClay™ Detox Mask,Moderate
107,Parfum,Bamboo Waterlock Mask,Moderate
108,Parfum,InstaMatte™ Oil-Control Mask,Moderate
109,Parfum,Wrinkle Warrior® Pink Plumping Mask,Moderate
110,Parfum,Egg Cream Mask Pore Tightening,Moderate
111,Parfum,SPLASH Absolute Hydration Replenishing Sleeping Pack,Moderate
112,Parfum,Benefiance WrinkleResist24 Intensive Eye Contour Cream,Moderate
113,Parfum,Banana Bright Eye Crème,Moderate
114,Parfum,R.N.A. POWER Anti-Aging Eye Cream,Moderate
115,Parfum,Super Restorative Total Eye Concentrate,Moderate
116,Parfum,Ultimune Eye Power Infusing Eye Concentrate,Moderate
117,Parfum,Future Solution LX Eye and Lip Contour Regenerating Cream,Moderate
118,Parfum,Bio-Performance LiftDynamic Eye Treatment,Moderate
119,Parfum,"Black Pine 3D Sculpting, Firming & Lifting Super Eye Serum",Moderate
120,Parfum,Crème Ancienne Supreme Eye Serum,Moderate
121,Parfum,Bio Performance Glow Revival Eye Treatment,Moderate
122,Parfum,"Black Pine 3D Sculpting, Firming & Lifting Eye Cream",Moderate
123,Parfum,Enhancing Eye Lift Serum,Moderate
124,Parfum,Mission Perfection Eye Broad Spectrum SPF 15,Moderate
125,Parfum,Multi-Active Day Cream SPF 20 - All Skin Types,Moderate
126,Parfum,CC Red Correct Automatic Perfector Broad Spectrum SPF 25,Moderate
127,Parfum,Tarteguard 30 Vegan Sunscreen Lotion Broad Spectrum SPF 30,Moderate
128,Parfum,Sugar Sport Treatment Sunscreen SPF 30,Moderate
129,Parfum,After Sun Greek Yoghurt Cooling Gel for Face and Body,Moderate
130,Parfum,Daily Deflector™ Waterlight Broad Spectrum SPF 50+ PA+++ Anti-Aging Sunscreen,Moderate
131,Parfum,Pro Light Self Tan Bronzing Mist,Moderate
133,Fragrance,Crème de la Mer,Moderate
134,Fragrance,The Moisturizing Soft Cream,Moderate
135,Fragrance,The Water Cream,Moderate
136,Fragrance,Little Miss Miracle Limited-Edition Crème de la Mer,Moderate
137,Fragrance,The True Cream Aqua Bomb,Moderate
138,Fragrance,Rose Deep Hydration Moisturizer,Moderate
139,Fragrance,R.N.A. POWER Face Cream,Moderate
140,Fragrance,Crème de la Mer Mini,Moderate
141,Fragrance,Bio-Performance Advanced Super Revitalizing Cream,Moderate
142,Fragrance,Black Tea Firming Overnight Mask,Moderate
143,Fragrance,The True Cream Moisturizing Bomb,Moderate
144,Fragrance,GenOptics Aura Essence Serum,Moderate
145,Fragrance,Black Tea Kombucha Antioxidant Essence,Moderate
146,Fragrance,Pure One Step Camellia Cleansing Oil,Moderate
147,Fragrance,Water Sleeping Mask,Moderate
148,Fragrance,Water Bank Moisture Cream,Moderate
149,Fragrance,Luminous Dewy Skin Mist,Moderate
150,Fragrance,Benefiance WrinkleResist24 Night Cream,Moderate
151,Fragrance,Goodnight Glow Retin-ALT Sleeping Crème,Moderate
152,Fragrance,Watermelon Glow Sleeping Mask,Moderate
153,Fragrance,Radiance Drops - Rainforest of the Sea™ Collection,Moderate
154,Fragrance,Beauty Elixir,Moderate
155,Fragrance,The Renewal Oil,Moderate
156,Fragrance,The Silk Cream,Moderate
157,Fragrance,C-Rush™ Brightening Gel Crème,Moderate
158,Fragrance,Color Control Cushion Compact Broad Spectrum SPF 50+,Moderate
159,Fragrance,Vinosource Moisturizing Sorbet,Moderate
160,Fragrance,CC Crème High Definition Radiance Face Cream Skin Perfector,Moderate
161,Fragrance,C.E.O. C + E antiOXIDANT Protect + Repair Moisturizer,Moderate
162,Fragrance,Luminous Dewy Skin Night Concentrate,Moderate
163,Fragrance,GLOWSTARTER™ Mega Illuminating Moisturizer,Moderate
164,Fragrance,Revitalizing Supreme Global Anti-Aging Crème,Moderate
165,Fragrance,Seaberry Moisturizing Face Oil,Moderate
166,Fragrance,BB Cushion Hydra Radiance SPF 50,Moderate
167,Fragrance,FUTURE RESPONSE Age Defense Creme,Moderate
168,Fragrance,THIRSTYMUD™ Hydrating Treatment,Moderate
169,Fragrance,Black Tea Corset Cream Firming Moisturizer,Moderate
170,Fragrance,Secret Sauce Clinically Advanced Miraculous Anti-Aging Moisturizer,Moderate
171,Fragrance,Benefiance WrinkleResist24 Day Cream Broad Spectrum SPF 18,Moderate
172,Fragrance,Water Bank Essence,Moderate
173,Fragrance,Watermelon Pink Juice Moisturizer,Moderate
174,Fragrance,Renewed Hope in A Jar Refreshing & Refining Moisturizer,Moderate
175,Fragrance,Cold Plasma Sub-D Firming Neck Treatment,Moderate
176,Fragrance,Rénergie Lift Multi-Action Night,Moderate
177,Fragrance,GENIUS Ultimate Anti-Aging Cream,Moderate
178,Fragrance,Nurture Me™ Moisturizing Crème,Moderate
179,Fragrance,Invigorating Night Transformation™ Gel,Moderate
180,Fragrance,Aqua Bomb Sleeping Mask,Moderate
181,Fragrance,Superfood Air-Whip Hyaluronic Acid Moisture Cream,Moderate
182,Fragrance,Bio-Performance Advanced Super Restoring Cream,Moderate
183,Fragrance,Benefiance WrinkleResist24 Day Emulsion Broad Spectrum SPF 18,Moderate
184,Fragrance,Vitamin C Glow Moisturizer,Moderate
185,Fragrance,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,Moderate
186,Fragrance,Vitamin Nectar Antioxidant Face Mist,Moderate
187,Fragrance,Peat Miracle Revital Cream,Moderate
188,Fragrance,Superberry Hydrate + Glow Oil,Moderate
189,Fragrance,Photo Finish Primer Water,Moderate
190,Fragrance,Retinol Youth Renewal Night Cream,Moderate
191,Fragrance,Water Bank Hydrating Gel,Moderate
192,Fragrance,Evercalm™ Overnight Recovery Balm,Moderate
193,Fragrance,Counter Balance™ Oil Control Hydrator,Moderate
194,Fragrance,The Moisturizing Soft Lotion,Moderate
195,Fragrance,Benefiance WrinkleResist24 Night Emulsion,Moderate
196,Fragrance,Resveratrol Lift Night Infusion Cream,Moderate
197,Fragrance,Essential-C Day Moisture Broad Spectrum SPF 30 PA+++,Moderate
198,Fragrance,Future Solution LX Total Regenerating Cream,Moderate
199,Fragrance,Multi-Active Night Cream - Normal to Combination Skin,Moderate
200,Fragrance,Ibuki Refining Moisturizer,Moderate
201,Fragrance,Ibuki Refining Moisturizer Enriched,Moderate
202,Fragrance,The Renewal Oil Mini,Moderate
203,Fragrance,Tech Neck Prevention Kit,Moderate
204,Fragrance,The Method: Nourish,Moderate
205,Fragrance,BIENFAIT MULTI-VITAL NIGHT - High Potency Night Moisturizing Cream VITA-NUTRI 8™,Moderate
206,Fragrance,Gold Camellia Beauty Oil,Moderate
207,Fragrance,Immortelle Divine Cream,Moderate
208,Fragrance,Advanced Time Zone Night Age Reversing Line/Wrinkle Crème,Moderate
209,Fragrance,Overnight Restorative Cream,Moderate
210,Fragrance,Premier Cru Cream,Moderate
211,Fragrance,Resveratrol Lift Face Lifting Soft Cream,Moderate
212,Fragrance,Bio-Performance Glow Revival Cream,Moderate
213,Fragrance,Sleeping Mask,Moderate
214,Fragrance,Hungarian Water Essence,Moderate
215,Fragrance,"Resilience Lift Firming/Sculpting Face and Neck Creme Broad Spectrum SPF 15, Normal/Combination Skin",Moderate
216,Fragrance,Truth Revealed™ Brightening Broad Spectrum SPF 15 Moisturizer,Moderate
217,Fragrance,Cellumination Cream EX,Moderate
218,Fragrance,BIENFAIT MULTI-VITAL - SPF 30 CREAM - High Potency Vitamin Enriched Daily Moisturizing Cream,Moderate
219,Fragrance,Extra-Firming Neck Anti-Wrinkle Rejuvenating Cream,Moderate
220,Fragrance,MOISTURE BOUND Rejuvenating Crème,Moderate
221,Fragrance,BB Crème au Ginseng,Moderate
222,Fragrance,SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50,Moderate
223,Fragrance,Renewed Hope in A Jar Overnight Recharging & Refining Moisturizer,Moderate
224,Fragrance,Anti-Aging Moisturizer SPF 30 PA+++,Moderate
225,Fragrance,Ultimate Miracle Worker Multi-Rejuvenating Cream SPF 30,Moderate
226,Fragrance,Treatment Toner,Moderate
227,Fragrance,Bio-Performance LiftDynamic Cream,Moderate
228,Fragrance,Vinosource Intense Moisture Rescue Cream,Moderate
229,Fragrance,Wrinkle Warrior™ 2-in-1 Plumping Moisturizer + Serum,Moderate
230,Fragrance,Hyaluronic Marine Oil-Free Moisture Cushion,Moderate
231,Fragrance,Nutrient-Charged Water Gel,Moderate
232,Fragrance,MOISTURE BOUND Refreshing Hydra-Gel Oil-Free,Moderate
233,Fragrance,Instant Moisturizer + Cream,Moderate
234,Fragrance,Water Bank Dual Layer Face Oil,Moderate
235,Fragrance,Ibuki Beauty Sleeping Mask,Moderate
236,Fragrance,VOLCASMIC™ Matte Glow Moisturizer,Moderate
237,Fragrance,Rénergie Lift Multi-Action Sunscreen Broad Spectrum SPF 15 For All Skin Types,Moderate
238,Fragrance,High Potency Classics: Face Finishing & Firming Moisturizer,Moderate
239,Fragrance,Ibuki Protective Moisturizer Broad Spectrum SPF 18,Moderate
240,Fragrance,Visionnaire Advanced Multi-Correcting Cream,Moderate
241,Fragrance,Premier Cru Rich Cream,Moderate
242,Fragrance,Hydra Zen Anti-Stress Gel Moisturizer,Moderate
243,Fragrance,Intensive Instant Moisturizer + Cream,Moderate
244,Fragrance,Facial Treatment Oil,Moderate
245,Fragrance,Maracuja Neck Treatment,Moderate
246,Fragrance,DREAMDUO™ Overnight Transforming Treatment,Moderate
247,Fragrance,POWER Recharging Night Pressed Serum,Moderate
248,Fragrance,Firming & Lifting Neck Cream,Moderate
249,Fragrance,White Lucent All Day Brightener Broad Spectrum SPF 23 Moisturizer,Moderate
250,Fragrance,The Moisturizing Matte Lotion,Moderate
251,Fragrance,Super Restorative Night Age Spot Correcting Replenishing Cream,Moderate
252,Fragrance,Face Hero,Moderate
253,Fragrance,Tonique Confort Re-Hydrating Comforting Toner with Acacia Honey,Moderate
254,Fragrance,Rose Deep Hydration Facial Toner,Moderate
255,Fragrance,Bi-Facil Double-Action Eye Makeup Remover,Moderate
256,Fragrance,Cleansing & Exfoliating Wipes,Moderate
257,Fragrance,The Cleansing Foam,Moderate
258,Fragrance,Treatment Enzyme Peel,Moderate
259,Fragrance,Sugar Face Polish Exfoliator,Moderate
260,Fragrance,Superfood Antioxidant Cleanser,Moderate
261,Fragrance,The Clean Truth™ Foaming Cleanser,Moderate
262,Fragrance,Transforming Walnut Scrub,Moderate
263,Fragrance,Calendula Deep Clean Foaming Face Wash,Moderate
264,Fragrance,microdermabrasion age defying exfoliator,Moderate
265,Fragrance,Instant Foaming Cleanser,Moderate
266,Fragrance,Greek Yoghurt Foaming Cream Cleanser,Moderate
267,Fragrance,Moisturizing Toner,Moderate
268,Fragrance,Benefiance Extra Creamy Cleansing Foam,Moderate
269,Fragrance,YOUTHMUD™ Tinglexfoliate Treatment,Moderate
270,Fragrance,Anti-Aging Cleansing Gel,Moderate
271,Fragrance,Clarifying Cleanser,Moderate
272,Fragrance,The Tonic,Moderate
273,Fragrance,EradiKate® Daily Cleanser Acne Treatment,Moderate
274,Fragrance,Bye Bye Makeup™ 3-in-1 Makeup Melting Cleansing Balm,Moderate
275,Fragrance,Treatment Cleansing Foam,Moderate
276,Fragrance,Nutritious Radiant Vitality Energy Lotion,Moderate
277,Fragrance,Multi Cleanser,Moderate
278,Fragrance,Gentle Foaming Cleanser with Cottonseed,Moderate
279,Fragrance,Ibuki Gentle Cleanser,Moderate
280,Fragrance,Micellar Cleansing Water,Moderate
281,Fragrance,Blueberry Bounce Gentle Cleanser,Moderate
282,Fragrance,Toning Lotion with Camomile,Moderate
283,Fragrance,Flawless Skin Face Polish,Moderate
284,Fragrance,Green Tea Real Fresh Foam Cleanser,Moderate
285,Fragrance,FLASHMUD™ Brightening Treatment,Moderate
286,Fragrance,Time Release Acne Cleanser,Moderate
287,Fragrance,Rose Deep Hydration Toner Mini,Moderate
288,Fragrance,Witch Hazel Herbal Extract Toner,Moderate
289,Fragrance,Essential Power Skin Toner for Normal to Dry Skin,Moderate
290,Fragrance,Crème Radiance Gentle Cleansing Creamy-Foam Cleanser,Moderate
291,Fragrance,Truth™ On the Glow Cleansing Cloths,Moderate
292,Fragrance,One-Step Gentle Exfoliating Cleanser with Orange Extract,Moderate
293,Fragrance,The Cleansing Foam Mini,Moderate
294,Fragrance,Deep Cleansing Exfoliator,Moderate
295,Fragrance,SUPERCLEANSE™ Clearing Cream-to-Foam Cleanser,Moderate
296,Fragrance,Essential-C Cleanser,Moderate
297,Fragrance,Face the Truth™ Gel Cleanser,Moderate
298,Fragrance,The Cleansing Gel,Moderate
299,Fragrance,White Lucent Luminizing Infuser,Moderate
300,Fragrance,Radiance Cleansing Foam,Moderate
301,Fragrance,Cleansing & Clarifying Duo,Moderate
302,Fragrance,Gentle Cleansing Milk,Moderate
303,Fragrance,Make-Up Removing Cleansing Oil,Moderate
304,Fragrance,Soy Face Cleansing Milk,Moderate
305,Fragrance,Moisturizing Foam Cleanser,Moderate
306,Fragrance,Seaberry Skin Nutrition Cleansing Oil,Moderate
307,Fragrance,Pureness Deep Cleansing Foam,Moderate
308,Fragrance,Essential Power Skin Toner for Combination to Oily Skin,Moderate
309,Fragrance,Shea Cleansing Oil,Moderate
310,Fragrance,Multi-Miracle Glow Cleansing Balm,Moderate
311,Fragrance,The Method: Polish Blemish Control,Moderate
312,Fragrance,Ibuki Softening Concentrate,Moderate
313,Fragrance,Future Solution LX Extra Rich Cleansing Foam,Moderate
314,Fragrance,Creamy Cleansing Foam Moist,Moderate
315,Fragrance,Oil Control Blotting Paper,Moderate
316,Fragrance,Problem Solution Toner,Moderate
317,Fragrance,Acne Clearing Wash,Moderate
318,Fragrance,OIL OBSESSED™ Total Cleansing Oil,Moderate
319,Fragrance,Bergamot Herbal Extract Toner,Moderate
320,Fragrance,Essential-C Toner,Moderate
321,Fragrance,Renewing Cleansing Cream,Moderate
322,Fragrance,YOUTHCLEANSE™ Daily Exfoliating Cleanser,Moderate
323,Fragrance,Stay Balanced™ Oil Control Cleansing Cloths,Moderate
324,Fragrance,A Glowing Regimen Trial Set,Moderate
325,Fragrance,Wild Rose Exfoliating Cleanser,Moderate
326,Fragrance,Cleansing Gel Oil Enriched,Moderate
327,Fragrance,No:Rinse Intensive Pore Minimizing Toner,Moderate
328,Fragrance,The Cleansing Oil,Moderate
329,Fragrance,Hydrating Toner,Moderate
330,Fragrance,Ibuki Purifying Cleanser,Moderate
331,Fragrance,Pureness Balancing Softener Alcohol-Free,Moderate
332,Fragrance,Multi-Perfecting Detoxifying Exfoliator,Moderate
333,Fragrance,Moment of Truth™ 2-in-1 Polishing Sugar Mask,Moderate
334,Fragrance,Pore Reform™ Skin Smoothing Polish,Moderate
335,Fragrance,One Step Acne Eliminating Pads,Moderate
336,Fragrance,Eau Ginseng,Moderate
337,Fragrance,Solid Cleansing Oil,Moderate
338,Fragrance,Prep-N-Glow™ Cloths,Moderate
339,Fragrance,The Method: Cleanse,Moderate
340,Fragrance,Double Mousse Gentle Cleansing Foam,Moderate
341,Fragrance,Exfoliating Swipeys,Moderate
342,Fragrance,PRE:EMPT SERIES™ Exfoliating Pore Refiner,Moderate
343,Fragrance,POWERMUD™ Dualcleanse Treatment,Moderate
344,Fragrance,The Cleansing Micellar Water,Moderate
345,Fragrance,GENIUS Ultimate Anti-Aging Melting Cleanser,Moderate
346,Fragrance,So Nurturing™ Cleansing Cloths,Moderate
347,Fragrance,Wonderfeel™ Double Cleanser,Moderate
348,Fragrance,Extra Rich Cleansing Milk,Moderate
349,Fragrance,Perfectly Clean Multi-Action Toning Lotion/Refiner,Moderate
350,Fragrance,Umbrian Clay Pore Purifying Face Exfoliator,Moderate
351,Fragrance,Rosa Centifolia™ No.1 Purity Cleansing Balm,Moderate
352,Fragrance,Refreshing Cleanser,Moderate
353,Fragrance,Pore Refining Detox Double Cleanse,Moderate
354,Fragrance,Refreshing Gel Cleanser,Moderate
355,Fragrance,Hydrating Essence Toner,Moderate
356,Fragrance,Micro Polish Cleanser,Moderate
357,Fragrance,Truth Serum®,Moderate
358,Fragrance,Advanced Génifique Youth Activating Serum Duo,Moderate
359,Fragrance,Alpha Beta® Extra Strength Daily Peel,Moderate
360,Fragrance,SUPERMUD® Activated Charcoal Treatment,Moderate
361,Fragrance,Alpha Beta® Universal Daily Peel,Moderate
362,Fragrance,Truth Serum - Starlight Holiday Edition,Moderate
363,Fragrance,Vinoperfect Radiance Serum,Moderate
364,Fragrance,Double Serum Complete Age Control Concentrate,Moderate
365,Fragrance,The Regenerating Serum,Moderate
366,Fragrance,GENIUS Liquid Collagen,Moderate
367,Fragrance,Rapid Age Spot and Pigment Lightening Serum,Moderate
368,Fragrance,Vinosource S.O.S Thirst Quenching Serum,Moderate
369,Fragrance,Perfectionist CP+R Wrinkle Lifting/Firming Serum,Moderate
370,Fragrance,The Revitalizing Hydrating Serum,Moderate
371,Fragrance,The Treatment Lotion,Moderate
372,Fragrance,Max Complexion Correction Pads,Moderate
373,Fragrance,Glow Cycle Retin-ALT Power Serum,Moderate
374,Fragrance,Backlight Priming Filter Face Primer,Moderate
375,Fragrance,GRAVITYMUD™ Firming Treatment,Moderate
376,Fragrance,R.N.A. POWER Anti-Aging Essence Serum,Moderate
377,Fragrance,White Lucent MicroTargeting Spot Corrector,Moderate
378,Fragrance,Rose Deep Hydration Face Serum,Moderate
379,Fragrance,Black Tea Age-Delay Firming Serum,Moderate
380,Fragrance,Invisiblur™ Perfecting Shield Broad Spectrum SPF 30 PA+++,Moderate
